Date,Campus,Block,Count,Recorded by,Source,When entered
2025-09-22,Fayetteville,7:30 AM - Noon,49,,LimeSurvey 81,
2025-09-22,Fayetteville,Noon - 4:30 PM,9,,LimeSurvey 81,
2025-09-23,Fayetteville,7:30 AM - Noon,24,,LimeSurvey 81,
2025-09-23,Fayetteville,Noon - 4:30 PM,14,,LimeSurvey 81,
2025-09-24,Fayetteville,7:30 AM - Noon,22,,LimeSurvey 81,
2025-09-24,Fayetteville,Noon - 4:30 PM,28,,LimeSurvey 81,
2025-09-25,Fayetteville,7:30 AM - Noon,17,,LimeSurvey 81,
2025-09-25,Fayetteville,Noon - 4:30 PM,15,,LimeSurvey 81,
2025-09-26,Fayetteville,Noon - 4:30 PM,17,,LimeSurvey 81,
2025-09-29,Fayetteville,7:30 AM - Noon,13,,LimeSurvey 76,
2025-09-29,Fayetteville,Noon - 4:30 PM,24,,LimeSurvey 76,
2025-09-30,Fayetteville,7:30 AM - Noon,29,,LimeSurvey 76,
2025-09-30,Fayetteville,Noon - 4:30 PM,22,,LimeSurvey 76,
2025-10-01,Fayetteville,7:30 AM - Noon,24,,LimeSurvey 76,
2025-10-01,Fayetteville,Noon - 4:30 PM,13,,LimeSurvey 76,
2025-10-02,Fayetteville,7:30 AM - Noon,26,,LimeSurvey 76,
2025-10-02,Fayetteville,Noon - 4:30 PM,26,,LimeSurvey 76,
2025-10-03,Fayetteville,Noon - 4:30 PM,22,,LimeSurvey 76,
2025-10-06,Fayetteville,7:30 AM - Noon,19,,LimeSurvey 71,
2025-10-06,Fayetteville,Noon - 4:30 PM,16,,LimeSurvey 71,
2025-10-07,Fayetteville,7:30 AM - Noon,32,,LimeSurvey 71,
2025-10-07,Fayetteville,Noon - 4:30 PM,23,,LimeSurvey 71,
2025-10-08,Fayetteville,7:30 AM - Noon,33,,LimeSurvey 71,
2025-10-08,Fayetteville,Noon - 4:30 PM,19,,LimeSurvey 71,
2025-10-09,Fayetteville,7:30 AM - Noon,17,,LimeSurvey 71,
2025-10-09,Fayetteville,Noon - 4:30 PM,15,,LimeSurvey 71,
2025-10-10,Fayetteville,Noon - 4:30 PM,15,,LimeSurvey 71,
2025-10-13,Fayetteville,7:30 AM - Noon,39,,LimeSurvey 60,
2025-10-13,Fayetteville,Noon - 4:30 PM,28,,LimeSurvey 60,
2025-10-14,Fayetteville,7:30 AM - Noon,23,,LimeSurvey 60,
2025-10-14,Fayetteville,Noon - 4:30 PM,13,,LimeSurvey 60,
2025-10-15,Fayetteville,7:30 AM - Noon,28,,LimeSurvey 60,
2025-10-15,Fayetteville,Noon - 4:30 PM,35,,LimeSurvey 60,
2025-10-16,Fayetteville,7:30 AM - Noon,18,,LimeSurvey 60,
2025-10-16,Fayetteville,Noon - 4:30 PM,25,,LimeSurvey 60,
2025-10-17,Fayetteville,7:30 AM - Noon,108,,LimeSurvey 60,
2025-10-17,Fayetteville,Noon - 4:30 PM,8,,LimeSurvey 60,
2025-10-20,Fayetteville,7:30 AM - Noon,32,,LimeSurvey 45,
2025-10-20,Fayetteville,Noon - 4:30 PM,15,,LimeSurvey 45,
2025-10-21,Fayetteville,7:30 AM - Noon,21,,LimeSurvey 45,
2025-10-21,Fayetteville,Noon - 4:30 PM,14,,LimeSurvey 45,
2025-10-22,Fayetteville,7:30 AM - Noon,20,,LimeSurvey 45,
2025-10-22,Fayetteville,Noon - 4:30 PM,10,,LimeSurvey 45,
2025-10-23,Fayetteville,7:30 AM - Noon,18,,LimeSurvey 45,
2025-10-23,Fayetteville,Noon - 4:30 PM,20,,LimeSurvey 45,
2025-10-24,Fayetteville,7:30 AM - Noon,13,,LimeSurvey 45,
2025-10-24,Fayetteville,Noon - 4:30 PM,10,,LimeSurvey 45,
2025-10-27,Fayetteville,7:30 AM - Noon,48,,LimeSurvey 107,
2025-10-27,Fayetteville,Noon - 4:30 PM,18,,LimeSurvey 107,
2025-10-28,Fayetteville,7:30 AM - Noon,14,,LimeSurvey 107,
2025-10-28,Fayetteville,Noon - 4:30 PM,16,,LimeSurvey 107,
2025-10-29,Fayetteville,7:30 AM - Noon,20,,LimeSurvey 107,
2025-10-29,Fayetteville,Noon - 4:30 PM,9,,LimeSurvey 107,
2025-10-30,Fayetteville,7:30 AM - Noon,12,,LimeSurvey 107,
2025-10-30,Fayetteville,Noon - 4:30 PM,28,,LimeSurvey 107,
2025-10-31,Fayetteville,7:30 AM - Noon,4,,LimeSurvey 107,
2025-10-31,Fayetteville,Noon - 4:30 PM,10,,LimeSurvey 107,
2025-11-03,Fayetteville,7:30 AM - Noon,19,,LimeSurvey 103,
2025-11-03,Fayetteville,Noon - 4:30 PM,10,,LimeSurvey 103,
2025-11-04,Fayetteville,7:30 AM - Noon,16,,LimeSurvey 103,
2025-11-04,Fayetteville,Noon - 4:30 PM,11,,LimeSurvey 103,
2025-11-05,Fayetteville,7:30 AM - Noon,24,,LimeSurvey 103,
2025-11-05,Fayetteville,Noon - 4:30 PM,12,,LimeSurvey 103,
2025-11-06,Fayetteville,7:30 AM - Noon,27,,LimeSurvey 103,
2025-11-06,Fayetteville,Noon - 4:30 PM,21,,LimeSurvey 103,
2025-11-07,Fayetteville,7:30 AM - Noon,20,,LimeSurvey 103,
2025-11-10,Fayetteville,7:30 AM - Noon,23,,LimeSurvey 98,
2025-11-10,Fayetteville,Noon - 4:30 PM,18,,LimeSurvey 98,
2025-11-11,Fayetteville,7:30 AM - Noon,16,,LimeSurvey 98,
2025-11-11,Fayetteville,Noon - 4:30 PM,15,,LimeSurvey 98,
2025-11-12,Fayetteville,7:30 AM - Noon,15,,LimeSurvey 98,
2025-11-12,Fayetteville,Noon - 4:30 PM,11,,LimeSurvey 98,
2025-11-13,Fayetteville,7:30 AM - Noon,29,,LimeSurvey 98,
2025-11-13,Fayetteville,Noon - 4:30 PM,22,,LimeSurvey 98,
2025-11-14,Fayetteville,7:30 AM - Noon,10,,LimeSurvey 98,
2025-11-14,Fayetteville,Noon - 4:30 PM,7,,LimeSurvey 98,
2025-11-17,Fayetteville,7:30 AM - Noon,23,,LimeSurvey 95,
2025-11-17,Fayetteville,Noon - 4:30 PM,15,,LimeSurvey 95,
2025-11-18,Fayetteville,7:30 AM - Noon,19,,LimeSurvey 95,
2025-11-18,Fayetteville,Noon - 4:30 PM,12,,LimeSurvey 95,
2025-11-19,Fayetteville,7:30 AM - Noon,35,,LimeSurvey 95,
2025-11-19,Fayetteville,Noon - 4:30 PM,11,,LimeSurvey 95,
2025-11-20,Fayetteville,7:30 AM - Noon,33,,LimeSurvey 95,
2025-11-20,Fayetteville,Noon - 4:30 PM,50,,LimeSurvey 95,
2025-11-21,Fayetteville,Noon - 4:30 PM,17,,LimeSurvey 95,
2025-11-24,Fayetteville,7:30 AM - Noon,40,,LimeSurvey 67,
2025-11-24,Fayetteville,Noon - 4:30 PM,20,,LimeSurvey 67,
2025-11-25,Fayetteville,7:30 AM - Noon,17,,LimeSurvey 67,
2025-11-25,Fayetteville,Noon - 4:30 PM,22,,LimeSurvey 67,
2025-11-26,Fayetteville,7:30 AM - Noon,15,,LimeSurvey 67,
2025-12-01,Fayetteville,7:30 AM - Noon,40,,LimeSurvey 64,
2025-12-01,Fayetteville,Noon - 4:30 PM,24,,LimeSurvey 64,
2025-12-02,Fayetteville,7:30 AM - Noon,29,,LimeSurvey 64,
2025-12-02,Fayetteville,Noon - 4:30 PM,18,,LimeSurvey 64,
2025-12-03,Fayetteville,7:30 AM - Noon,18,,LimeSurvey 64,
2025-12-03,Fayetteville,Noon - 4:30 PM,15,,LimeSurvey 64,
2025-12-04,Fayetteville,7:30 AM - Noon,28,,LimeSurvey 64,
2025-12-04,Fayetteville,Noon - 4:30 PM,21,,LimeSurvey 64,
2025-12-05,Fayetteville,7:30 AM - Noon,10,,LimeSurvey 64,
2025-12-08,Fayetteville,7:30 AM - Noon,65,,LimeSurvey 55,
2025-12-08,Fayetteville,Noon - 4:30 PM,16,,LimeSurvey 55,
2025-12-09,Fayetteville,7:30 AM - Noon,14,,LimeSurvey 55,
2025-12-09,Fayetteville,Noon - 4:30 PM,14,,LimeSurvey 55,
2025-12-10,Fayetteville,7:30 AM - Noon,6,,LimeSurvey 55,
2025-12-10,Fayetteville,Noon - 4:30 PM,10,,LimeSurvey 55,
2025-12-11,Fayetteville,7:30 AM - Noon,12,,LimeSurvey 55,
2025-12-11,Fayetteville,Noon - 4:30 PM,18,,LimeSurvey 55,
2025-12-12,Fayetteville,7:30 AM - Noon,24,,LimeSurvey 55,
2025-12-16,Fayetteville,7:30 AM - Noon,6,,LimeSurvey 50,
2025-12-16,Fayetteville,Noon - 4:30 PM,9,,LimeSurvey 50,
2025-12-17,Fayetteville,7:30 AM - Noon,5,,LimeSurvey 50,
2025-12-17,Fayetteville,Noon - 4:30 PM,4,,LimeSurvey 50,
2026-01-07,Fayetteville,7:30 AM - Noon,3,,LimeSurvey 91,
2026-01-07,Fayetteville,Noon - 4:30 PM,10,,LimeSurvey 91,
2026-01-08,Fayetteville,7:30 AM - Noon,8,,LimeSurvey 91,
2026-01-08,Fayetteville,Noon - 4:30 PM,4,,LimeSurvey 91,
2026-01-09,Fayetteville,7:30 AM - Noon,13,,LimeSurvey 91,
2026-01-09,Fayetteville,Noon - 4:30 PM,3,,LimeSurvey 91,
2026-01-12,Fayetteville,7:30 AM - Noon,14,,LimeSurvey 87,
2026-01-12,Fayetteville,Noon - 4:30 PM,13,,LimeSurvey 87,
2026-01-13,Fayetteville,7:30 AM - Noon,14,,LimeSurvey 87,
2026-01-13,Fayetteville,Noon - 4:30 PM,8,,LimeSurvey 87,
2026-01-14,Fayetteville,7:30 AM - Noon,7,,LimeSurvey 87,
2026-01-14,Fayetteville,Noon - 4:30 PM,6,,LimeSurvey 87,
2026-01-15,Fayetteville,7:30 AM - Noon,20,,LimeSurvey 87,
