When,Date,Hour,Weekday,Campus,Category,Mode,Count,Recorded by,Source,Tap id
,2025-10-06,,Monday,Fayetteville,General Ref,In person,1,,LimeSurvey 71,
,2025-10-07,,Tuesday,Fayetteville,Directional,In person,2,,LimeSurvey 71,
,2025-10-07,,Tuesday,Fayetteville,General Ref,In person,2,,LimeSurvey 71,
,2025-10-08,,Wednesday,Fayetteville,Directional,In person,2,,LimeSurvey 71,
,2025-10-08,,Wednesday,Fayetteville,General Ref,In person,1,,LimeSurvey 71,
,2025-10-09,,Thursday,Fayetteville,Reference & Instruction,In person,1,,LimeSurvey 71,
,2025-10-20,,Monday,Fayetteville,D2L,In person,1,,LimeSurvey 45,
,2025-10-30,,Thursday,Fayetteville,Directional,In person,2,,LimeSurvey 107,
,2025-10-30,,Thursday,Fayetteville,General Ref,In person,1,,LimeSurvey 107,
,2025-11-05,,Wednesday,Fayetteville,General Ref,Remote,1,,LimeSurvey 103,
,2025-11-05,,Wednesday,Fayetteville,Reference & Instruction,In person,1,,LimeSurvey 103,
,2025-11-06,,Thursday,Fayetteville,Tech Support,In person,1,,LimeSurvey 103,
,2025-11-17,,Monday,Fayetteville,Reference & Instruction,In person,1,,LimeSurvey 95,
,2025-11-20,,Thursday,Fayetteville,Reference & Instruction,In person,1,,LimeSurvey 95,
,2025-12-08,,Monday,Fayetteville,Directional,In person,1,,LimeSurvey 55,
,2025-12-08,,Monday,Fayetteville,General Ref,In person,1,,LimeSurvey 55,
,2025-12-08,,Monday,Fayetteville,Tech Support,In person,2,,LimeSurvey 55,
,2025-12-09,,Tuesday,Fayetteville,General Ref,Remote,1,,LimeSurvey 55,
,2025-12-12,,Friday,Fayetteville,Directional,In person,1,,LimeSurvey 55,
,2026-01-07,,Wednesday,Fayetteville,Tech Support,In person,1,,LimeSurvey 91,
,2026-01-12,,Monday,Fayetteville,Directional,In person,1,,LimeSurvey 87,
,2026-01-12,,Monday,Fayetteville,Tech Support,In person,1,,LimeSurvey 87,
,2026-01-16,,Friday,Fayetteville,Directional,In person,1,,LimeSurvey 87,
,2026-02-05,,Thursday,Fayetteville,Reference & Instruction,In person,1,,LimeSurvey 112,
,2026-02-12,,Thursday,Fayetteville,Reference & Instruction,In person,1,,LimeSurvey 115,
,2026-02-18,,Wednesday,Fayetteville,Directional,In person,1,,LimeSurvey 118,
,2026-05-20,,Wednesday,Fayetteville,General Ref,In person,1,,LimeSurvey 173,
,2025-09-22,,Monday,McMinnville,General Ref,In person,2,,LimeSurvey 82,
,2025-09-22,,Monday,McMinnville,Tech Support,In person,1,,LimeSurvey 82,
,2025-09-23,,Tuesday,McMinnville,General Ref,In person,2,,LimeSurvey 82,
,2025-09-23,,Tuesday,McMinnville,General Ref,Remote,1,,LimeSurvey 82,
,2025-09-23,,Tuesday,McMinnville,Tech Support,In person,5,,LimeSurvey 82,
,2025-09-24,,Wednesday,McMinnville,Tech Support,In person,2,,LimeSurvey 82,
,2025-09-25,,Thursday,McMinnville,General Ref,In person,2,,LimeSurvey 82,
,2025-09-25,,Thursday,McMinnville,Library Search,In person,2,,LimeSurvey 82,
,2025-09-25,,Thursday,McMinnville,Reference & Instruction,In person,1,,LimeSurvey 82,
,2025-09-26,,Friday,McMinnville,Directional,In person,1,,LimeSurvey 82,
,2025-09-26,,Friday,McMinnville,General Ref,In person,1,,LimeSurvey 82,
,2025-09-29,,Monday,McMinnville,General Ref,In person,3,,LimeSurvey 77,
,2025-09-29,,Monday,McMinnville,Reference & Instruction,In person,1,,LimeSurvey 77,
,2025-09-29,,Monday,McMinnville,Tech Support,In person,3,,LimeSurvey 77,
,2025-09-30,,Tuesday,McMinnville,Tech Support,In person,2,,LimeSurvey 77,
,2025-10-01,,Wednesday,McMinnville,General Ref,In person,1,,LimeSurvey 77,
,2025-10-01,,Wednesday,McMinnville,General Ref,Remote,1,,LimeSurvey 77,
,2025-10-01,,Wednesday,McMinnville,Reference & Instruction,In person,2,,LimeSurvey 77,
,2025-10-01,,Wednesday,McMinnville,Tech Support,In person,2,,LimeSurvey 77,
,2025-10-02,,Thursday,McMinnville,General Ref,In person,3,,LimeSurvey 77,
,2025-10-02,,Thursday,McMinnville,Library Search,Remote,1,,LimeSurvey 77,
,2025-10-02,,Thursday,McMinnville,Reference & Instruction,In person,3,,LimeSurvey 77,
,2025-10-02,,Thursday,McMinnville,Tech Support,In person,4,,LimeSurvey 77,
,2025-10-06,,Monday,McMinnville,Directional,In person,3,,LimeSurvey 73,
,2025-10-06,,Monday,McMinnville,General Ref,Remote,2,,LimeSurvey 73,
,2025-10-06,,Monday,McMinnville,Tech Support,In person,3,,LimeSurvey 73,
,2025-10-07,,Tuesday,McMinnville,Directional,In person,3,,LimeSurvey 73,
,2025-10-07,,Tuesday,McMinnville,Tech Support,In person,1,,LimeSurvey 73,
,2025-10-08,,Wednesday,McMinnville,Directional,In person,8,,LimeSurvey 73,
,2025-10-08,,Wednesday,McMinnville,General Ref,In person,4,,LimeSurvey 73,
,2025-10-08,,Wednesday,McMinnville,Tech Support,In person,5,,LimeSurvey 73,
,2025-10-09,,Thursday,McMinnville,General Ref,In person,2,,LimeSurvey 73,
,2025-10-09,,Thursday,McMinnville,Library Search,In person,1,,LimeSurvey 73,
,2025-10-09,,Thursday,McMinnville,Reference & Instruction,In person,3,,LimeSurvey 73,
,2025-10-09,,Thursday,McMinnville,Tech Support,In person,3,,LimeSurvey 73,
,2025-10-13,,Monday,McMinnville,Directional,In person,2,,LimeSurvey 56,
,2025-10-15,,Wednesday,McMinnville,Directional,In person,1,,LimeSurvey 56,
,2025-10-15,,Wednesday,McMinnville,General Ref,In person,2,,LimeSurvey 56,
,2025-10-15,,Wednesday,McMinnville,Library Search,In person,1,,LimeSurvey 56,
,2025-10-16,,Thursday,McMinnville,Library Search,In person,5,,LimeSurvey 56,
,2025-10-16,,Thursday,McMinnville,Reference & Instruction,In person,5,,LimeSurvey 56,
,2025-10-16,,Thursday,McMinnville,Reference & Instruction,Remote,1,,LimeSurvey 56,
,2025-10-17,,Friday,McMinnville,General Ref,In person,2,,LimeSurvey 56,
,2025-10-17,,Friday,McMinnville,Tech Support,In person,1,,LimeSurvey 56,
,2025-10-20,,Monday,McMinnville,Directional,In person,1,,LimeSurvey 52,
,2025-10-20,,Monday,McMinnville,General Ref,In person,2,,LimeSurvey 52,
,2025-10-20,,Monday,McMinnville,Library Search,In person,1,,LimeSurvey 52,
,2025-10-20,,Monday,McMinnville,Reference & Instruction,In person,4,,LimeSurvey 52,
,2025-10-20,,Monday,McMinnville,Tech Support,In person,1,,LimeSurvey 52,
,2025-10-21,,Tuesday,McMinnville,Directional,In person,2,,LimeSurvey 52,
,2025-10-21,,Tuesday,McMinnville,Library Search,In person,1,,LimeSurvey 52,
,2025-10-21,,Tuesday,McMinnville,Reference & Instruction,In person,3,,LimeSurvey 52,
,2025-10-21,,Tuesday,McMinnville,Reference & Instruction,Remote,1,,LimeSurvey 52,
,2025-10-21,,Tuesday,McMinnville,Tech Support,In person,1,,LimeSurvey 52,
,2025-10-22,,Wednesday,McMinnville,Library Search,In person,1,,LimeSurvey 52,
,2025-10-22,,Wednesday,McMinnville,Reference & Instruction,In person,2,,LimeSurvey 52,
,2025-10-22,,Wednesday,McMinnville,Tech Support,In person,3,,LimeSurvey 52,
,2025-10-23,,Thursday,McMinnville,Directional,In person,1,,LimeSurvey 52,
,2025-10-23,,Thursday,McMinnville,Reference & Instruction,In person,1,,LimeSurvey 52,
,2025-10-23,,Thursday,McMinnville,Tech Support,In person,1,,LimeSurvey 52,
,2025-10-27,,Monday,McMinnville,Directional,In person,2,,LimeSurvey 106,
,2025-10-27,,Monday,McMinnville,General Ref,In person,3,,LimeSurvey 106,
,2025-10-27,,Monday,McMinnville,Reference & Instruction,In person,1,,LimeSurvey 106,
,2025-10-27,,Monday,McMinnville,Tech Support,In person,1,,LimeSurvey 106,
,2025-10-28,,Tuesday,McMinnville,Directional,In person,1,,LimeSurvey 106,
,2025-10-28,,Tuesday,McMinnville,General Ref,In person,1,,LimeSurvey 106,
,2025-10-28,,Tuesday,McMinnville,Library Search,In person,1,,LimeSurvey 106,
,2025-10-28,,Tuesday,McMinnville,Reference & Instruction,In person,4,,LimeSurvey 106,
,2025-10-28,,Tuesday,McMinnville,Tech Support,In person,3,,LimeSurvey 106,
,2025-10-29,,Wednesday,McMinnville,Directional,In person,1,,LimeSurvey 106,
,2025-10-29,,Wednesday,McMinnville,General Ref,In person,2,,LimeSurvey 106,
,2025-10-29,,Wednesday,McMinnville,Tech Support,In person,1,,LimeSurvey 106,
,2025-10-30,,Thursday,McMinnville,Directional,In person,1,,LimeSurvey 106,
,2025-10-30,,Thursday,McMinnville,Library Search,In person,1,,LimeSurvey 106,
,2025-10-30,,Thursday,McMinnville,Reference & Instruction,In person,2,,LimeSurvey 106,
,2025-10-31,,Friday,McMinnville,Directional,In person,1,,LimeSurvey 106,
,2025-10-31,,Friday,McMinnville,General Ref,In person,1,,LimeSurvey 106,
,2025-11-03,,Monday,McMinnville,General Ref,In person,2,,LimeSurvey 102,
,2025-11-03,,Monday,McMinnville,Tech Support,In person,3,,LimeSurvey 102,
,2025-11-04,,Tuesday,McMinnville,Directional,In person,1,,LimeSurvey 102,
,2025-11-04,,Tuesday,McMinnville,General Ref,In person,1,,LimeSurvey 102,
,2025-11-04,,Tuesday,McMinnville,General Ref,Remote,1,,LimeSurvey 102,
,2025-11-04,,Tuesday,McMinnville,Reference & Instruction,In person,2,,LimeSurvey 102,
,2025-11-04,,Tuesday,McMinnville,Tech Support,In person,2,,LimeSurvey 102,
,2025-11-05,,Wednesday,McMinnville,Reference & Instruction,In person,1,,LimeSurvey 102,
,2025-11-05,,Wednesday,McMinnville,Tech Support,In person,2,,LimeSurvey 102,
,2025-11-06,,Thursday,McMinnville,General Ref,In person,1,,LimeSurvey 102,
,2025-11-10,,Monday,McMinnville,General Ref,Remote,1,,LimeSurvey 99,
,2025-11-10,,Monday,McMinnville,Reference & Instruction,Remote,1,,LimeSurvey 99,
,2025-11-10,,Monday,McMinnville,Tech Support,In person,1,,LimeSurvey 99,
,2025-11-11,,Tuesday,McMinnville,Directional,In person,2,,LimeSurvey 99,
,2025-11-11,,Tuesday,McMinnville,Reference & Instruction,In person,2,,LimeSurvey 99,
,2025-11-11,,Tuesday,McMinnville,Tech Support,In person,3,,LimeSurvey 99,
,2025-11-12,,Wednesday,McMinnville,General Ref,Remote,1,,LimeSurvey 99,
,2025-11-12,,Wednesday,McMinnville,Library Search,In person,1,,LimeSurvey 99,
,2025-11-13,,Thursday,McMinnville,Directional,In person,1,,LimeSurvey 99,
,2025-11-13,,Thursday,McMinnville,Reference & Instruction,In person,1,,LimeSurvey 99,
,2025-11-13,,Thursday,McMinnville,Tech Support,In person,1,,LimeSurvey 99,
,2025-11-17,,Monday,McMinnville,General Ref,In person,1,,LimeSurvey 93,
,2025-11-17,,Monday,McMinnville,Reference & Instruction,In person,1,,LimeSurvey 93,
,2025-11-17,,Monday,McMinnville,Tech Support,In person,1,,LimeSurvey 93,
,2025-11-18,,Tuesday,McMinnville,Directional,In person,1,,LimeSurvey 93,
,2025-11-18,,Tuesday,McMinnville,Library Search,In person,3,,LimeSurvey 93,
,2025-11-18,,Tuesday,McMinnville,Reference & Instruction,In person,3,,LimeSurvey 93,
,2025-11-18,,Tuesday,McMinnville,Tech Support,In person,1,,LimeSurvey 93,
,2025-11-19,,Wednesday,McMinnville,General Ref,In person,1,,LimeSurvey 93,
,2025-11-19,,Wednesday,McMinnville,Library Search,In person,2,,LimeSurvey 93,
,2025-11-19,,Wednesday,McMinnville,Library Search,Remote,1,,LimeSurvey 93,
,2025-11-19,,Wednesday,McMinnville,Reference & Instruction,In person,1,,LimeSurvey 93,
,2025-11-19,,Wednesday,McMinnville,Reference & Instruction,Remote,1,,LimeSurvey 93,
,2025-11-19,,Wednesday,McMinnville,Tech Support,In person,3,,LimeSurvey 93,
,2025-11-20,,Thursday,McMinnville,Directional,In person,6,,LimeSurvey 93,
,2025-11-20,,Thursday,McMinnville,General Ref,In person,4,,LimeSurvey 93,
,2025-11-20,,Thursday,McMinnville,Reference & Instruction,In person,3,,LimeSurvey 93,
,2025-11-21,,Friday,McMinnville,General Ref,Remote,1,,LimeSurvey 93,
,2025-11-24,,Monday,McMinnville,General Ref,In person,1,,LimeSurvey 72,
,2025-11-24,,Monday,McMinnville,Reference & Instruction,In person,1,,LimeSurvey 72,
,2025-11-24,,Monday,McMinnville,Reference & Instruction,Remote,1,,LimeSurvey 72,
,2025-11-24,,Monday,McMinnville,Tech Support,In person,1,,LimeSurvey 72,
,2025-11-25,,Tuesday,McMinnville,Directional,In person,1,,LimeSurvey 72,
,2025-11-25,,Tuesday,McMinnville,Tech Support,In person,1,,LimeSurvey 72,
,2025-12-01,,Monday,McMinnville,Directional,In person,1,,LimeSurvey 59,
,2025-12-01,,Monday,McMinnville,Reference & Instruction,In person,5,,LimeSurvey 59,
,2025-12-01,,Monday,McMinnville,Tech Support,In person,3,,LimeSurvey 59,
,2025-12-02,,Tuesday,McMinnville,General Ref,Remote,3,,LimeSurvey 59,
,2025-12-02,,Tuesday,McMinnville,Reference & Instruction,Remote,2,,LimeSurvey 59,
,2025-12-02,,Tuesday,McMinnville,Tech Support,In person,3,,LimeSurvey 59,
,2025-12-03,,Wednesday,McMinnville,Directional,In person,1,,LimeSurvey 59,
